Gen  172 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  173 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  174 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  175 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  176 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  177 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  178 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  179 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  180 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  181 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  182 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  183 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  184 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  185 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  186 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  187 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  188 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  189 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  190 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  191 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  192 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  193 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  194 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  195 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  196 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  197 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  198 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  199 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  200 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  201 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  202 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  203 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  204 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  205 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  206 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  207 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  208 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  209 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  210 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  211 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  212 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  213 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  214 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  215 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  216 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  217 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  218 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  219 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  220 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  221 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  222 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  223 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  224 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
